File Extention,Application,Comments
.aft,Data Files,
.asf,Audio/Video,
.asm,PRO/E & TEAMS,
.avi,Audio/Video,
.bat,Executable,
.bdf,PATRAN/NASTRAN,
.bin,,
.bit,CAD,
.bmp,Image,
.bzip2,Compressed Files,
.cat,CATIA,
.CATDrawing,CATIA,
.CATPart,CATIA,
.CATProduct,CATIA,
.cfm,Web,
.cgr,CATIA,
.cpp,Any program that utilizes C++ code,
.crp,EVMS software COBRA,Report templates/data file
.crt,web file,
.css,,Approved by ISSM Jason on 4/13/2022
.cst,Page Layout files,
.csv,Misc,
.ctl,Developer/Data,
.dat,PATRAN/NASTRAN,
.db,PATRAN/NASTRAN,
.dc1,CAD Files,
.dct,Doors,
.dfx,HPGL/AutoCAD,
.div,CATIA,
.div3,CATIA,
.div4,CATIA,
.dlv,CATIA,
.dlv3,CATIA,
.dlv4,CATIA,
.dma,Doors,
.dmap,PATRAN/NASTRAN,
.dmp,AMMS,
.doc,MicroSoft Office Suite,
.docm,MicroSoft Office Suite,
.docx,MicroSoft Office Suite,
.drw,Image,
.dtd,,Added 4/6/22 by ISSO TF. Approval provided by ISSO TN. 
.dwg,HPGL/AutoCAD,
.dxl,Database/Executable,
.emz,vector image files,
.eps,Image,
.exl,Data Files/Developer,
.exp,,Added 4/6/22 by ISSO TF. Approval provided by ISSO TN. 
.fig,Image,
.fmx,AMMS,
.fsc,Data Files,
.gem,Developer/Vector Images/Page Layout,
.gif,Image,
.gr8,,
.grv,Data File/XML,
.gsa,,
.gz,Compressed Files,
.gzip,Compressed Files,
.har,SEER-H data files,
.hpglz,,
.html,Misc,
.idx,PRO/E & TEAMS,
.igs,CATIA,
.ini,Settings/Data File,
.jpg,,
.js,,
.llb,,
.lnk,,
.log,PRO/E & TEAMS,
.mat,Matlab,
.mcd,CAD/Data Files,
.mcs,,
.mdb,MicroSoft Office Suite,
.mez,,
.mht,,
.mnu,,
.mod/ modFEM,CATIA,
.model,,
.mp3,Audio/Video,
.mpd,MicroSoft Office Suite,
.mpg,Audio/Video,
.mpj,Data/3D Image Files,
.mpp,MicroSoft Office Suite,
.mql,,
.msg,MicroSoft Office Suite,
.npz,Compressed Image/Mapping,Per Will Schoellkopf
.nupkg,Binary; Developer Files/Data Files,
.op2,PATRAN/NASTRAN,
.pde,Developer Files/Text,
.pdf,Misc,
.plt,HPGL/AutoCAD,
.ppt,MicroSoft Office Suite,
.pptx,MicroSoft Office Suite,
.prc,AMMS,
.prm,,
.prt,PRO/E & TEAMS,
.ps,eMatrix,
.pbiviz,PowerBI ,Schroeder concurs ok - reviewed all file-extensions.org and google
.pvz,CAD Files,
.rdl,,Schroeder concurs ok - reviewed all file-extensions.org and google
.rpt,,
.rtf,Misc,
.sfc,,
.sld,Raster Image Files/XML,
.sldd,MATLlab Data,
.slx,Data Files/Audio Files,
.sql,,
.stl,CAD/Web/Data Files,
.stp,CATIA,
.tab,Text/Data/GIS,
.tar,Compressed Files,
.tci,,
.tga,Raster Image Files,
.tgz,,
.tif,,
.tor,,
.trg,,
.txt,Misc,
.ui,Developer Files/Text,
.vi,LabView,
.vsd,MicroSoft Office Suite,
.vsdx,vector image files,
.wma,Audio/Video,
.wmv,Audio/Video,
.xls,MicroSoft Office Suite,
.xlsm,,
.xlsm,,
.xlsx,MicroSoft Office Suite,
.xml,Misc,
.zip,Compressed Files,
